Filename,power
genotype_model1_0_01p_0005h_005m_043.csv,0.04
genotype_model1_0_01p_0005h_005m_031.csv,0.11
genotype_model1_0_01p_0005h_005m_011.csv,0.12
genotype_model1_0_01p_0005h_005m_060.csv,0.06
genotype_model1_0_01p_0005h_005m_086.csv,0.12
genotype_model1_0_01p_0005h_005m_099.csv,0.05
genotype_model1_0_01p_0005h_005m_059.csv,0.13
genotype_model1_0_01p_0005h_005m_022.csv,0.17
genotype_model1_0_01p_0005h_005m_076.csv,0.09
genotype_model1_0_01p_0005h_005m_024.csv,0.06
genotype_model1_0_01p_0005h_005m_042.csv,0.07
genotype_model1_0_01p_0005h_005m_070.csv,0.08
genotype_model1_0_01p_0005h_005m_038.csv,0.13
genotype_model1_0_01p_0005h_005m_023.csv,0.07
genotype_model1_0_01p_0005h_005m_062.csv,0.11
genotype_model1_0_01p_0005h_005m_036.csv,0.08
genotype_model1_0_01p_0005h_005m_040.csv,0.1
genotype_model1_0_01p_0005h_005m_002.csv,0.08
genotype_model1_0_01p_0005h_005m_091.csv,0.09
genotype_model1_0_01p_0005h_005m_064.csv,0.1
genotype_model1_0_01p_0005h_005m_063.csv,0.07
genotype_model1_0_01p_0005h_005m_055.csv,0.1
genotype_model1_0_01p_0005h_005m_006.csv,0.09
genotype_model1_0_01p_0005h_005m_015.csv,0.12
genotype_model1_0_01p_0005h_005m_039.csv,0.07
genotype_model1_0_01p_0005h_005m_032.csv,0.03
genotype_model1_0_01p_0005h_005m_007.csv,0.08
genotype_model1_0_01p_0005h_005m_054.csv,0.06
genotype_model1_0_01p_0005h_005m_088.csv,0.12
genotype_model1_0_01p_0005h_005m_100.csv,0.08
genotype_model1_0_01p_0005h_005m_068.csv,0.09
genotype_model1_0_01p_0005h_005m_012.csv,0.11
genotype_model1_0_01p_0005h_005m_020.csv,0.09
genotype_model1_0_01p_0005h_005m_074.csv,0.07
genotype_model1_0_01p_0005h_005m_018.csv,0.08
genotype_model1_0_01p_0005h_005m_071.csv,0.0
genotype_model1_0_01p_0005h_005m_067.csv,0.1
genotype_model1_0_01p_0005h_005m_073.csv,0.05
genotype_model1_0_01p_0005h_005m_014.csv,0.05
genotype_model1_0_01p_0005h_005m_009.csv,0.06
genotype_model1_0_01p_0005h_005m_069.csv,0.08
